Region 82 Avg IOU: 0.041360, Class: 0.663487, Obj: 0.702358, No Obj: 0.416891, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.406651, Class: 0.317183, Obj: 0.706325, No Obj: 0.420702, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.056118, Class: 0.238207, Obj: 0.711921, No Obj: 0.420022, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.081362, Class: 0.856906, Obj: 0.075731, No Obj: 0.419161, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.304729, Class: 0.884132, Obj: 0.245481, No Obj: 0.418799, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.123969, Class: 0.571019, Obj: 0.308913, No Obj: 0.420697, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.119705, Class: 0.252507, Obj: 0.064451, No Obj: 0.418297, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.086230, Class: 0.561726, Obj: 0.156811, No Obj: 0.421048, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.064900, Class: 0.343699, Obj: 0.247911, No Obj: 0.419528, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.353375, Class: 0.207617, Obj: 0.604425, No Obj: 0.420323, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.079562, Class: 0.693487, Obj: 0.262636, No Obj: 0.423714, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.091091, Class: 0.836403, Obj: 0.622333, No Obj: 0.420538, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.306892, Class: 0.509440, Obj: 0.543052, No Obj: 0.419819, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.250243, Class: 0.810524, Obj: 0.494545, No Obj: 0.415598, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.061191, Class: 0.465597, Obj: 0.537747, No Obj: 0.420425, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.209414, Class: 0.095509, Obj: 0.373597, No Obj: 0.421614, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.208171, Class: 0.080363, Obj: 0.327783, No Obj: 0.420264, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.485680, Class: 0.704541, Obj: 0.326090, No Obj: 0.420486, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.033214, Class: 0.811147, Obj: 0.185163, No Obj: 0.416396, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.534677, Class: 0.675507, Obj: 0.493230, No Obj: 0.416778, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.026889, Class: 0.554877, Obj: 0.720367, No Obj: 0.418036, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.252349, Class: 0.365612, Obj: 0.013581, No Obj: 0.421948, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.671437, Class: 0.943858, Obj: 0.731814, No Obj: 0.419338, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.457536, Class: 0.161341, Obj: 0.499543, No Obj: 0.417167, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.143810, Class: 0.960196, Obj: 0.516201, No Obj: 0.416312, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.054911, Class: 0.531704, Obj: 0.165939, No Obj: 0.417331, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.087183, Class: 0.747826, Obj: 0.356384, No Obj: 0.418592, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.106150, Class: 0.754302, Obj: 0.424612, No Obj: 0.419014, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.186581, Class: 0.694510, Obj: 0.654346, No Obj: 0.418654, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.478951, Class: 0.826854, Obj: 0.609363, No Obj: 0.420172, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.106256, Class: 0.855359, Obj: 0.192001, No Obj: 0.417570, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.586858, Class: 0.938043, Obj: 0.328725, No Obj: 0.419206, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.507636, Class: 0.614579, Obj: 0.290463, No Obj: 0.422742, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.363443, Class: 0.329188, Obj: 0.474587, No Obj: 0.418493, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.095831, Class: 0.524258, Obj: 0.674263, No Obj: 0.418980, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.370774, Class: 0.451601, Obj: 0.786508, No Obj: 0.422096, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.165883, Class: 0.292653, Obj: 0.658811, No Obj: 0.421431, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.312264, Class: 0.526162, Obj: 0.519038, No Obj: 0.418206, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.070756, Class: 0.053615, Obj: 0.422440, No Obj: 0.418222, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.351171, Class: 0.469544, Obj: 0.541846, No Obj: 0.420408, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.081779, Class: 0.271639, Obj: 0.717574, No Obj: 0.421201, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.065744, Class: 0.703233, Obj: 0.378979, No Obj: 0.417467, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.134545, Class: 0.731405, Obj: 0.590598, No Obj: 0.419320, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.173911, Class: 0.230610, Obj: 0.227585, No Obj: 0.419266, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.394015, Class: 0.617195, Obj: 0.846332, No Obj: 0.418657, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.284267, Class: 0.863348, Obj: 0.889589, No Obj: 0.417406, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.322613, Class: 0.561692, Obj: 0.372343, No Obj: 0.420047, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.280109, Class: 0.344159, Obj: 0.627521, No Obj: 0.421639, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.259879, Class: 0.858580, Obj: 0.357343, No Obj: 0.419284, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.314828, Class: 0.574739, Obj: 0.826119, No Obj: 0.420699, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.484816, Class: 0.481046, Obj: 0.173718, No Obj: 0.418208, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.506838, Class: 0.126131, Obj: 0.143215, No Obj: 0.421884, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.253720, Class: 0.767163, Obj: 0.542067, No Obj: 0.419588, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.274757, Class: 0.836420, Obj: 0.202123, No Obj: 0.420556, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.120552, Class: 0.914916, Obj: 0.652332, No Obj: 0.416324, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.298726, Class: 0.864221, Obj: 0.272236, No Obj: 0.419696, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.085896, Class: 0.414867, Obj: 0.674363, No Obj: 0.420089, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.237973, Class: 0.544299, Obj: 0.459750, No Obj: 0.418053, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.025924, Class: 0.126588, Obj: 0.091195, No Obj: 0.421115, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.039876, Class: 0.478184, Obj: 0.597408, No Obj: 0.417910, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.425823, Class: 0.367765, Obj: 0.427426, No Obj: 0.420391, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.097620, Class: 0.145536, Obj: 0.064321, No Obj: 0.421586, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.105817, Class: 0.236050, Obj: 0.142789, No Obj: 0.422420, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.519229, Class: 0.819596, Obj: 0.447575, No Obj: 0.418216, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.074911, Class: 0.684523, Obj: 0.425761, No Obj: 0.420096, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.172291, Class: 0.498037, Obj: 0.296691, No Obj: 0.420663, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.225869, Class: 0.683553, Obj: 0.458739, No Obj: 0.416808, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.132356, Class: 0.169922, Obj: 0.665379, No Obj: 0.420125, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.372314, Class: 0.693400, Obj: 0.283862, No Obj: 0.421072, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.096572, Class: 0.631715, Obj: 0.200130, No Obj: 0.418157, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.592671, Class: 0.554138, Obj: 0.079141, No Obj: 0.419659, .5R: 1.000000, .75R: 0.000000,  count: 1
